14,206,558 13,563,091
Rank	Name	Number	Name	Number
1	Jacob	126,832	Emma	138,708
2	Noah	126,722	Sophia	137,986
3	Mason	119,941	Olivia	128,710
4	William	116,186	Isabella	126,845
5	Liam	114,177	Ava	109,931
6	Ethan	113,066	Emily	90,593
7	Michael	109,542	Mia	90,046
8	Alexander	105,785	Abigail	88,704
9	Daniel	99,846	Madison	76,872
10	Jayden	99,525	Elizabeth	68,216
11	Aiden	98,476	Chloe	64,993
12	James	98,005	Charlotte	63,059
13	Elijah	96,601	Ella	61,368
14	Benjamin	93,798	Avery	59,114
15	Matthew	93,709	Sofia	59,032
16	Logan	89,522	Amelia	56,411
17	David	87,228	Addison	55,490
18	Anthony	87,142	Evelyn	55,224
19	Joseph	85,876	Harper	53,386
20	Jackson	84,910	Grace	52,832
21	Joshua	83,397	Natalie	52,501
22	Andrew	82,296	Lily	51,058
23	Lucas	80,266	Aubrey	50,029
24	Gabriel	79,837	Victoria	50,012
25	Christopher	79,121	Lillian	47,918
26	Samuel	78,138	Hannah	47,048
27	John	74,876	Zoey	47,025
28	Dylan	70,688	Brooklyn	45,957
29	Ryan	70,051	Samantha	45,182
30	Isaac	68,649	Layla	43,683
31	Nathan	67,428	Zoe	42,587
32	Carter	67,119	Leah	40,866
33	Luke	66,782	Anna	38,499
34	Caleb	65,909	Riley	37,934
35	Christian	64,514	Allison	37,739
36	Owen	62,913	Audrey	37,538
37	Jonathan	61,848	Savannah	37,476
38	Landon	61,410	Hailey	36,962
39	Henry	60,452	Gabriella	36,871
40	Wyatt	59,813	Scarlett	36,164
41	Jack	58,781	Camila	35,725
42	Oliver	57,276	Kaylee	35,563
43	Hunter	56,371	Sarah	35,316
44	Sebastian	56,318	Alexis	35,184
45	Isaiah	55,717	Aaliyah	34,836
46	Julian	54,084	Nevaeh	34,597
47	Brayden	52,522	Claire	34,433
48	Nicholas	51,774	Alexa	32,984
49	Levi	51,582	Arianna	32,875
50	Gavin	51,575	Alyssa	32,000
51	Evan	51,559	Taylor	30,884
52	Aaron	51,538	Peyton	30,485
53	Eli	51,390	Aria	30,432
54	Connor	50,471	Ashley	30,336
55	Jordan	49,980	Brianna	30,120
56	Jeremiah	49,880	Ariana	29,911
57	Charles	49,547	Bella	29,378
58	Cameron	49,493	Stella	28,923
59	Thomas	49,122	Kylie	28,631
60	Tyler	49,039	Lucy	28,480
61	Adrian	48,007	Serenity	28,063
62	Angel	47,571	Genesis	28,039
63	Robert	46,826	Madelyn	27,934
64	Jaxon	46,188	Maya	27,879
65	Austin	44,822	Penelope	27,615
66	Brandon	44,590	Ellie	27,485
67	Josiah	42,270	Khloe	27,377
68	Colton	41,983	Caroline	27,188
69	Jose	41,823	Autumn	27,141
70	Kevin	41,601	Julia	26,912
71	Dominic	40,685	Mackenzie	26,826
72	Grayson	40,624	Kennedy	26,713
73	Zachary	40,495	Sophie	26,616
74	Chase	39,365	Violet	26,480
75	Jason	38,724	Sadie	26,325
76	Ayden	38,493	Nora	26,173
77	Ian	38,074	Skylar	26,128
78	Justin	36,959	Katherine	26,091
79	Parker	36,812	Eva	24,729
80	Adam	36,723	Kayla	24,576
81	Cooper	35,550	Gianna	24,532
82	Xavier	35,458	Faith	24,397
83	Blake	34,398	Naomi	24,388
84	Jace	34,274	Melanie	24,356
85	Bentley	33,655	Aubree	24,107
86	Nolan	33,563	Paisley	23,881
87	Carson	33,374	Alexandra	23,765
88	Hudson	32,537	Lauren	23,649
89	Nathaniel	31,715	Makayla	23,627
90	Easton	30,855	Madeline	23,573
91	Brody	29,888	Lydia	23,043
92	Tristan	29,452	Piper	23,025
93	Luis	29,348	Sydney	22,734
94	Lincoln	28,836	Jasmine	22,718
95	Juan	28,822	Mila	22,572
96	Asher	28,418	Eleanor	22,570
97	Kayden	28,238	Annabelle	22,547
98	Jaxson	28,110	Ruby	22,442
